,Lead Origin,Lead Source,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Lead Quality,City,Last Notable Activity,A free copy of Mastering The Interview,Do Not Email,Converted
0,API,Olark Chat,0.0,0,0.0,Page Visited on Website,Low in Relevance,Mumbai,Modified,No,No,0
1,API,Organic Search,5.0,674,2.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2,Landing Page Submission,Direct Traffic,2.0,1532,2.0,Email Opened,Might be,Mumbai,Email Opened,Yes,No,1
3,Landing Page Submission,Direct Traffic,1.0,305,1.0,Unreachable,Not Sure,Mumbai,Modified,No,No,0
4,Landing Page Submission,Google,2.0,1428,1.0,Converted to Lead,Might be,Mumbai,Modified,No,No,1
5,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
6,Landing Page Submission,Google,2.0,1640,2.0,Email Opened,Low in Relevance,Mumbai,Modified,No,No,1
7,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
8,Landing Page Submission,Direct Traffic,2.0,71,2.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
9,API,Google,4.0,58,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
10,Landing Page Submission,Organic Search,8.0,1351,8.0,Email Opened,Might be,Other Metro Cities,Email Opened,Yes,No,1
11,Landing Page Submission,Direct Traffic,8.0,1343,2.67,Page Visited on Website,Not Sure,Thane & Outskirts,Page Visited on Website,Yes,No,1
12,API,Organic Search,11.0,1538,11.0,Email Opened,Might be,Mumbai,Modified,No,No,1
13,Landing Page Submission,Organic Search,5.0,170,5.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
14,Landing Page Submission,Direct Traffic,1.0,481,1.0,Email Bounced,Not Sure,Mumbai,Email Bounced,No,Yes,0
15,API,Organic Search,6.0,1012,6.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
16,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
17,API,Referral Sites,6.0,973,6.0,Email Link Clicked,Might be,Mumbai,Modified,No,No,0
18,Landing Page Submission,Google,6.0,1688,3.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,1
19,API,Organic Search,3.0,98,3.0,Page Visited on Website,Worst,Mumbai,Modified,No,No,0
20,Landing Page Submission,Google,1.0,233,1.0,Unreachable,Not Sure,Mumbai,Modified,No,No,0
21,API,Google,4.0,377,1.33,Page Visited on Website,Worst,Mumbai,Modified,No,No,0
22,Landing Page Submission,Google,1.0,1013,1.0,Converted to Lead,Low in Relevance,Mumbai,Modified,No,No,1
23,Landing Page Submission,Google,4.0,771,4.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
24,API,Google,6.0,1137,1.5,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
25,Landing Page Submission,Google,3.0,1068,3.0,Form Submitted on Website,Not Sure,Mumbai,Modified,No,No,1
26,Landing Page Submission,Organic Search,4.0,1000,2.0,Email Opened,Low in Relevance,Other Cities,Email Opened,Yes,No,1
27,Landing Page Submission,Google,6.0,1315,6.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
28,Landing Page Submission,Direct Traffic,5.0,182,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
29,API,Google,3.0,78,3.0,Unreachable,High in Relevance,Mumbai,Unreachable,No,No,1
30,Landing Page Submission,Direct Traffic,7.0,1174,3.5,Email Opened,Might be,Mumbai,Email Opened,Yes,No,1
31,API,Google,3.0,88,1.5,Email Opened,Not Sure,Mumbai,Modified,No,No,0
32,API,Referral Sites,4.0,223,2.0,Page Visited on Website,Low in Relevance,Mumbai,Modified,No,No,0
33,API,Organic Search,3.0,74,1.5,Email Opened,Not Sure,Mumbai,Modified,No,No,0
34,Landing Page Submission,Organic Search,4.0,16,2.0,Page Visited on Website,Might be,Mumbai,Modified,Yes,No,1
35,API,Referral Sites,3.0,98,3.0,Email Opened,High in Relevance,Thane & Outskirts,Modified,No,No,1
36,Landing Page Submission,Google,4.0,1622,4.0,Unreachable,Might be,Mumbai,Modified,No,No,0
37,Landing Page Submission,Google,5.0,563,5.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
38,API,Google,2.0,310,2.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
39,Landing Page Submission,Google,4.0,25,4.0,Email Opened,High in Relevance,Other Cities of Maharashtra,Email Opened,No,No,1
40,API,Direct Traffic,3.0,342,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
41,Landing Page Submission,Organic Search,7.0,38,7.0,Unsubscribed,Not Sure,Mumbai,Unsubscribed,Yes,Yes,0
42,API,Google,5.0,199,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
43,Landing Page Submission,Google,5.0,222,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
44,Landing Page Submission,Direct Traffic,6.0,275,3.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
45,Landing Page Submission,Google,4.0,287,2.0,Email Opened,Might be,Mumbai,Email Opened,No,No,0
46,Landing Page Submission,Direct Traffic,2.0,547,2.0,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,0
47,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
48,API,Google,6.0,1225,6.0,Page Visited on Website,Worst,Thane & Outskirts,Modified,No,No,0
49,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
50,API,Olark Chat,0.0,0,0.0,Email Opened,Low in Relevance,Thane & Outskirts,Modified,No,No,1
51,Landing Page Submission,Google,5.0,160,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
52,Landing Page Submission,Organic Search,6.0,394,2.0,Unreachable,Might be,Mumbai,Modified,Yes,No,0
53,API,Google,6.0,286,1.5,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
54,API,Organic Search,7.0,96,2.33,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
55,API,Organic Search,2.0,12,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
56,Landing Page Submission,Referral Sites,13.0,436,13.0,Form Submitted on Website,Low in Relevance,Other Metro Cities,Modified,No,No,1
57,API,Referral Sites,8.0,903,8.0,Page Visited on Website,High in Relevance,Other Cities of Maharashtra,Page Visited on Website,No,No,1
58,Landing Page Submission,Organic Search,17.0,409,8.5,Email Opened,Not Sure,Mumbai,Modified,Yes,No,0
59,Landing Page Submission,Referral Sites,11.0,685,5.5,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
60,API,Google,4.0,213,4.0,Form Submitted on Website,Not Sure,Mumbai,Modified,No,No,0
61,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
62,API,Organic Search,7.0,1468,3.5,Page Visited on Website,High in Relevance,Mumbai,Modified,No,No,1
63,API,Olark Chat,0.0,0,0.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,No,0
64,Landing Page Submission,Direct Traffic,4.0,1435,4.0,Email Opened,Might be,Other Cities,Email Opened,Yes,No,1
65,Landing Page Submission,Google,1.0,157,1.0,Converted to Lead,Might be,Other Cities of Maharashtra,Modified,No,No,1
66,API,Google,3.0,885,1.5,Had a Phone Conversation,High in Relevance,Mumbai,Had a Phone Conversation,No,No,1
67,API,Olark Chat,0.0,0,0.0,Email Opened,Low in Relevance,Other Cities of Maharashtra,Modified,No,No,1
68,API,Olark Chat,0.0,0,0.0,View in browser link Clicked,Low in Relevance,Mumbai,Modified,No,No,0
69,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
70,Landing Page Submission,Direct Traffic,1.0,1710,1.0,Converted to Lead,Worst,Thane & Outskirts,Modified,Yes,No,0
71,Landing Page Submission,Direct Traffic,4.0,219,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
72,Landing Page Submission,Referral Sites,3.0,111,3.0,Email Bounced,Not Sure,Other Metro Cities,Modified,Yes,Yes,0
73,API,Organic Search,6.0,224,6.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
74,Landing Page Submission,Direct Traffic,5.0,224,1.67,Page Visited on Website,Not Sure,Other Cities of Maharashtra,Page Visited on Website,Yes,No,0
75,Landing Page Submission,Direct Traffic,2.0,1071,2.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,1
76,Landing Page Submission,Google,6.0,595,3.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
77,Lead Add Form,Welingak Website,3.0,1096,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
78,API,Referral Sites,4.0,520,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
79,Lead Add Form,Reference,3.0,705,2.0,Email Opened,Low in Relevance,Thane & Outskirts,Modified,No,No,1
