,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Converted,City_encoded,lead origin encoded,lead sources encoded,last activity encoded,lead quality encoded,last notable activity encoded,copy of interview encoded,do not email encoded
0,0.0,0,0.0,0,0,0,6,10,1,8,0,0
1,5.0,674,2.5,0,0,0,7,5,3,4,0,0
2,2.0,1532,2.0,1,0,1,1,5,2,4,1,0
3,1.0,305,1.0,0,0,1,1,13,3,8,0,0
4,2.0,1428,1.0,1,0,1,3,1,2,8,0,0
5,0.0,0,0.0,0,0,0,6,9,3,8,0,0
6,2.0,1640,2.0,1,0,1,3,5,1,8,0,0
7,0.0,0,0.0,0,0,0,6,9,3,8,0,0
8,2.0,71,2.0,0,4,1,1,5,3,4,1,0
9,4.0,58,4.0,0,0,0,3,5,3,4,0,0
10,8.0,1351,8.0,1,3,1,7,5,2,4,1,0
11,8.0,1343,2.67,1,4,1,1,10,3,10,1,0
12,11.0,1538,11.0,1,0,0,7,5,2,8,0,0
13,5.0,170,5.0,0,4,1,7,5,3,4,1,0
14,1.0,481,1.0,0,0,1,1,2,3,1,0,1
15,6.0,1012,6.0,1,0,0,7,5,2,4,0,0
16,0.0,0,0.0,0,0,0,6,9,3,8,0,0
17,6.0,973,6.0,0,0,0,11,3,2,8,0,0
18,6.0,1688,3.0,1,0,1,3,10,3,10,0,0
19,3.0,98,3.0,0,0,0,7,10,4,8,0,0
20,1.0,233,1.0,0,0,1,3,13,3,8,0,0
21,4.0,377,1.33,0,0,0,3,10,4,8,0,0
22,1.0,1013,1.0,1,0,1,3,1,1,8,0,0
23,4.0,771,4.0,0,0,1,3,3,3,2,0,0
24,6.0,1137,1.5,1,0,0,3,5,0,4,1,0
25,3.0,1068,3.0,1,0,1,3,7,3,8,0,0
26,4.0,1000,2.0,1,1,1,7,5,1,4,1,0
27,6.0,1315,6.0,1,0,1,3,5,0,4,0,0
28,5.0,182,5.0,0,0,1,1,5,3,4,0,0
29,3.0,78,3.0,1,0,0,3,13,0,13,0,0
30,7.0,1174,3.5,1,0,1,1,5,2,4,1,0
31,3.0,88,1.5,0,0,0,3,5,3,8,0,0
32,4.0,223,2.0,0,0,0,11,10,1,8,0,0
33,3.0,74,1.5,0,0,0,7,5,3,8,0,0
34,4.0,16,2.0,1,0,1,7,10,2,8,1,0
35,3.0,98,3.0,1,4,0,11,5,0,8,0,0
36,4.0,1622,4.0,0,0,1,3,13,2,8,0,0
37,5.0,563,5.0,1,0,1,3,5,1,4,0,0
38,2.0,310,2.0,0,0,0,3,3,3,2,0,0
39,4.0,25,4.0,1,2,1,3,5,0,4,0,0
40,3.0,342,3.0,0,0,0,1,5,3,4,0,0
41,7.0,38,7.0,0,0,1,7,14,3,14,1,1
42,5.0,199,5.0,0,0,0,3,5,3,4,0,0
43,5.0,222,5.0,0,0,1,3,5,3,4,0,0
44,6.0,275,3.0,0,0,1,1,5,3,4,1,0
45,4.0,287,2.0,0,0,1,3,5,2,4,0,0
46,2.0,547,2.0,0,0,1,1,5,0,4,1,0
47,0.0,0,0.0,0,0,0,6,9,3,8,0,0
48,6.0,1225,6.0,0,4,0,3,10,4,8,0,0
49,0.0,0,0.0,0,0,0,6,9,3,8,0,0
50,0.0,0,0.0,1,4,0,6,5,1,8,0,0
